classifier_name,dataset_name,accuracy
ECS,USC-HAD/time2state,0.8913
ECS,SynSeg/time2state,0.6193
ECS,MoCap/ticc,0.7284999999999999
ECS,ActRecTut/ticc,0.8845000000000001
ECS,PAMAP2/ticc,0.6962999999999999
ECS,USC-HAD/ticc,0.9634
ECS,SynSeg/ticc,0.992
ECS,MoCap/autoplait,0.5282
ECS,ActRecTut/autoplait,0.8691
ECS,PAMAP2/autoplait,0.7474
ECS,USC-HAD/autoplait,0.9979
ECS,SynSeg/autoplait,1.0
ECS,MoCap/e2usd,0.5660000000000001
ECS,ActRecTut/e2usd,0.7756000000000001
ECS,PAMAP2/e2usd,0.45439999999999997
ECS,USC-HAD/e2usd,0.8751000000000001
ECS,SynSeg/e2usd,0.7484999999999999
LDA,MoCap/time2state,0.7675
LDA,ActRecTut/time2state,0.8328
LDA,PAMAP2/time2state,0.6335000000000001
LDA,USC-HAD/time2state,0.9235
LDA,SynSeg/time2state,0.8756999999999999
LDA,MoCap/ticc,0.7785
LDA,ActRecTut/ticc,0.8356
LDA,PAMAP2/ticc,0.7139
LDA,USC-HAD/ticc,0.9640000000000001
LDA,SynSeg/ticc,0.9883
LDA,MoCap/autoplait,0.7456
LDA,ActRecTut/autoplait,0.745
LDA,PAMAP2/autoplait,0.743
LDA,USC-HAD/autoplait,0.9865999999999999
LDA,SynSeg/autoplait,0.9678
LDA,MoCap/e2usd,0.7572
LDA,ActRecTut/e2usd,0.7551000000000001
LDA,PAMAP2/e2usd,0.5490999999999999
LDA,USC-HAD/e2usd,0.8902
LDA,SynSeg/e2usd,0.7276
SFM,MoCap/time2state,0.7881
SFM,ActRecTut/time2state,0.8473
SFM,PAMAP2/time2state,0.6541
SFM,USC-HAD/time2state,0.9301
SFM,SynSeg/time2state,0.8543000000000001
SFM,MoCap/ticc,0.8532
SFM,ActRecTut/ticc,0.9115000000000001
SFM,PAMAP2/ticc,0.6713
SFM,USC-HAD/ticc,0.9555
SFM,SynSeg/ticc,0.9922
SFM,MoCap/autoplait,0.7271
SFM,ActRecTut/autoplait,0.9878
SFM,PAMAP2/autoplait,0.6396999999999999
SFM,USC-HAD/autoplait,0.9814
SFM,SynSeg/autoplait,0.9974
SFM,MoCap/e2usd,0.6770999999999999
SFM,ActRecTut/e2usd,0.7746
SFM,PAMAP2/e2usd,0.6275999999999999
SFM,USC-HAD/e2usd,0.9002
SFM,SynSeg/e2usd,0.8653
