classifier_name,dataset_name,accuracy
ECS,MoCap/ticc,0.49
ECS,ActRecTut/ticc,0.7892
ECS,PAMAP2/ticc,0.626
ECS,USC-HAD/ticc,0.6893
ECS,SynSeg/ticc,0.0143
ECS,MoCap/autoplait,0.5379999999999999
ECS,ActRecTut/autoplait,0.5032
ECS,PAMAP2/autoplait,0.6286
ECS,USC-HAD/autoplait,0.49570000000000003
ECS,SynSeg/autoplait,0.0
ECS,MoCap/e2usd,0.4861
ECS,ActRecTut/e2usd,0.7223
ECS,PAMAP2/e2usd,0.4978
ECS,USC-HAD/e2usd,0.6920000000000001
ECS,SynSeg/e2usd,0.102
LDA,MoCap/time2state,0.6587999999999999
LDA,ActRecTut/time2state,0.708
LDA,PAMAP2/time2state,0.6028
LDA,USC-HAD/time2state,0.7559999999999999
LDA,SynSeg/time2state,0.7908
LDA,MoCap/ticc,0.5814
LDA,ActRecTut/ticc,0.7393000000000001
LDA,PAMAP2/ticc,0.7054
LDA,USC-HAD/ticc,0.8043
LDA,SynSeg/ticc,0.431
LDA,MoCap/autoplait,0.5425
LDA,ActRecTut/autoplait,0.546
LDA,PAMAP2/autoplait,0.6095
LDA,USC-HAD/autoplait,0.7943000000000001
LDA,SynSeg/autoplait,0.7504000000000001
LDA,MoCap/e2usd,0.6487999999999999
LDA,ActRecTut/e2usd,0.6642
LDA,PAMAP2/e2usd,0.5758
LDA,USC-HAD/e2usd,0.7772
LDA,SynSeg/e2usd,0.7039
SFM,MoCap/time2state,0.726
SFM,ActRecTut/time2state,0.7071999999999999
SFM,PAMAP2/time2state,0.5550999999999999
SFM,USC-HAD/time2state,0.7820999999999999
SFM,SynSeg/time2state,0.7742
SFM,MoCap/ticc,0.6338
SFM,ActRecTut/ticc,0.7951999999999999
SFM,PAMAP2/ticc,0.5581
SFM,USC-HAD/ticc,0.8168000000000001
SFM,SynSeg/ticc,0.4192
SFM,MoCap/autoplait,0.614
SFM,ActRecTut/autoplait,0.2865
SFM,PAMAP2/autoplait,0.5603
SFM,USC-HAD/autoplait,0.7988
SFM,SynSeg/autoplait,0.7511
SFM,MoCap/e2usd,0.6269
SFM,ActRecTut/e2usd,0.6731999999999999
SFM,PAMAP2/e2usd,0.5847
SFM,USC-HAD/e2usd,0.8019
SFM,SynSeg/e2usd,0.7706999999999999
